input,label
Problem: 6/18 x 2/5 | Student Answer: 1/3,conv-a
Problem: 5/16 ÷ 5 2/15 | Student Answer: 3 5/31,conv-c
Problem: 5/16 ÷ 5 2/15 | Student Answer: -2 10/31,conv-d
Problem: 5/16 ÷ 5 2/15 | Student Answer: -75/1232,po-a
Problem: 5/16 ÷ 5 2/15 | Student Answer: 16 32/75,po-b
Problem: 5/16 ÷ 5 2/15 | Student Answer: 2 20/31,po-c
Problem: 5/16 ÷ 5 2/15 | Student Answer: 75/1232,po-d
Problem: 5/16 ÷ 5 2/15 | Student Answer: 12 13/31,pf-a
Problem: 5/16 ÷ 5 2/15 | Student Answer: 24 1/16,pf-b
Problem: 5/16 ÷ 5 2/15 | Student Answer: 41/120,pf-c
Problem: 5/16 ÷ 5 2/15 | Student Answer: 5/31,pf-d
Problem: 5/16 ÷ 5 2/15 | Student Answer: 82/1,pf-e
Problem: 5/16 ÷ 5 2/15 | Student Answer: 75/616,a
Problem: 2 17/18 ÷ 5/7 | Student Answer: 2 17/18,conv-a
Problem: 2 17/18 ÷ 5/7 | Student Answer: 2 13/126,conv-b
Problem: 2 17/18 ÷ 5/7 | Student Answer: 3 1/25,conv-c
Problem: 2 17/18 ÷ 5/7 | Student Answer: 1 23/25,conv-d
Problem: 2 17/18 ÷ 5/7 | Student Answer: -4 11/90,po-a
Problem: 2 17/18 ÷ 5/7 | Student Answer: 90/371,po-b
Problem: 2 17/18 ÷ 5/7 | Student Answer: 2 8/25,po-c
Problem: 2 17/18 ÷ 5/7 | Student Answer: 4 11/90,po-d
Problem: 2 17/18 ÷ 5/7 | Student Answer: 10 3/5,pf-a
Problem: 2 17/18 ÷ 5/7 | Student Answer: 14 13/18,pf-b
Problem: 2 17/18 ÷ 5/7 | Student Answer: 29/63,pf-c
Problem: 2 17/18 ÷ 5/7 | Student Answer: 2 3/25,pf-d
Problem: 2 17/18 ÷ 5/7 | Student Answer: 5 3/11,pf-e
Problem: 2 17/18 ÷ 5/7 | Student Answer: 4 1/9,a
Problem: 1/3 + 2 2/10 | Student Answer: 2 14/15,conv-a
Problem: 1/3 + 2 2/10 | Student Answer: 1/3,conv-b
Problem: 1/3 + 2 2/10 | Student Answer: 5/6,conv-c
Problem: 1/3 + 2 2/10 | Student Answer: -1 8/13,conv-d
Problem: 1/3 + 2 2/10 | Student Answer: -2 8/15,po-a
Problem: 1/3 + 2 2/10 | Student Answer: 15/38,po-b
Problem: 1/3 + 2 2/10 | Student Answer: 11/15,po-c
Problem: 1/3 + 2 2/10 | Student Answer: 23/30,po-d
Problem: 1/3 + 2 2/10 | Student Answer: 76 2/3,pf-a
Problem: 1/3 + 2 2/10 | Student Answer: 2 3/10,pf-b
Problem: 1/3 + 2 2/10 | Student Answer: 1 9/13,pf-c
Problem: 1/3 + 2 2/10 | Student Answer: 7 1/3,pf-d
Problem: 1/3 + 2 2/10 | Student Answer: -3 2/7,pf-e
Problem: 1/3 + 2 2/10 | Student Answer: 2 3/5,a
Problem: 1/2 ÷ 1 4/13 | Student Answer: 1 1/5,conv-a
Problem: 1/2 ÷ 1 4/13 | Student Answer: 17/26,conv-b
Problem: 1/2 ÷ 1 4/13 | Student Answer: 1 25/26,conv-c
Problem: 1/2 ÷ 1 4/13 | Student Answer: -1 1/15,conv-d
Problem: 1/2 ÷ 1 4/13 | Student Answer: -13/34,po-a
Problem: 1/2 ÷ 1 4/13 | Student Answer: 2 8/13,po-b
Problem: 1/2 ÷ 1 4/13 | Student Answer: 1 1/5,po-c
Problem: 1/2 ÷ 1 4/13 | Student Answer: 13/34,po-d
Problem: 1/2 ÷ 1 4/13 | Student Answer: 1 2/15,pf-a
Problem: 1/2 ÷ 1 4/13 | Student Answer: 8 1/2,pf-b
Problem: 1/2 ÷ 1 4/13 | Student Answer: 9/13,pf-c
Problem: 1/2 ÷ 1 4/13 | Student Answer: 1/15,pf-d
Problem: 1/2 ÷ 1 4/13 | Student Answer: -1 7/11,pf-e
Problem: 1/2 ÷ 1 4/13 | Student Answer: 6/17,a
Problem: 4/5 + 2/20 | Student Answer: 11/25,conv-a
Problem: 4/5 + 2/20 | Student Answer: 1/10,conv-b
Problem: 4/5 + 2/20 | Student Answer: 11/50,conv-c
Problem: 4/5 + 2/20 | Student Answer: 2/25,conv-d
Problem: 4/5 + 2/20 | Student Answer: -9/10,po-a
Problem: 4/5 + 2/20 | Student Answer: 1 1/9,po-b
Problem: 4/5 + 2/20 | Student Answer: 2/25,po-c
Problem: 4/5 + 2/20 | Student Answer: 3/50,po-d
Problem: 4/5 + 2/20 | Student Answer: -2/5,pf-a
Problem: 4/5 + 2/20 | Student Answer: 3/10,pf-b
Problem: 4/5 + 2/20 | Student Answer: 1 3/5,pf-c
Problem: 4/5 + 2/20 | Student Answer: 2/5,pf-d
Problem: 4/5 + 2/20 | Student Answer: -2/5,pf-e
Problem: 4/5 + 2/20 | Student Answer: 4/5,a
Problem: 9/11 ÷ 1/19 | Student Answer: 20/209,conv-a
Problem: 9/11 ÷ 1/19 | Student Answer: 9/209,conv-b
Problem: 9/11 ÷ 1/19 | Student Answer: 7/10,conv-c
Problem: 9/11 ÷ 1/19 | Student Answer: 4/15,conv-d
Problem: 9/11 ÷ 1/19 | Student Answer: -15 6/11,po-a
Problem: 9/11 ÷ 1/19 | Student Answer: 11/171,po-b
Problem: 9/11 ÷ 1/19 | Student Answer: 1/3,po-c
Problem: 9/11 ÷ 1/19 | Student Answer: 15 6/11,po-d
Problem: 9/11 ÷ 1/19 | Student Answer: 3/10,pf-a
Problem: 9/11 ÷ 1/19 | Student Answer: 9/11,pf-b
Problem: 9/11 ÷ 1/19 | Student Answer: 10/209,pf-c
Problem: 9/11 ÷ 1/19 | Student Answer: 3/10,pf-d
Problem: 9/11 ÷ 1/19 | Student Answer: -1 1/4,pf-e
Problem: 9/11 ÷ 1/19 | Student Answer: 14 1/4,a
Problem: 17/20 ÷ 2/3 | Student Answer: 1 7/30,conv-a
Problem: 17/20 ÷ 2/3 | Student Answer: 17/30,conv-b
Problem: 17/20 ÷ 2/3 | Student Answer: 5 7/10,conv-c
Problem: 17/20 ÷ 2/3 | Student Answer: 15/23,conv-d
Problem: 17/20 ÷ 2/3 | Student Answer: -1 11/40,po-a
Problem: 17/20 ÷ 2/3 | Student Answer: 40/51,po-b
Problem: 17/20 ÷ 2/3 | Student Answer: 19/23,po-c
Problem: 17/20 ÷ 2/3 | Student Answer: 1 11/40,po-d
Problem: 17/20 ÷ 2/3 | Student Answer: 1 11/23,pf-a
Problem: 17/20 ÷ 2/3 | Student Answer: 1 7/10,pf-b
Problem: 17/20 ÷ 2/3 | Student Answer: 19/60,pf-c
Problem: 17/20 ÷ 2/3 | Student Answer: 17/23,pf-d
Problem: 17/20 ÷ 2/3 | Student Answer: 1 2/17,pf-e
Problem: 17/20 ÷ 2/3 | Student Answer: 2 11/20,a
Problem: 7/10 x 5 8/12 | Student Answer: 3 29/30,conv-a
Problem: 7/10 x 5 8/12 | Student Answer: 21/170,conv-b
Problem: 7/10 x 5 8/12 | Student Answer: 3 19/22,conv-c
Problem: 7/10 x 5 8/12 | Student Answer: -2 17/22,conv-d
Problem: 7/10 x 5 8/12 | Student Answer: -3 29/30,po-a
Problem: 7/10 x 5 8/12 | Student Answer: 30/119,po-b
Problem: 7/10 x 5 8/12 | Student Answer: 30 1/2,po-c
Problem: 7/10 x 5 8/12 | Student Answer: 5/8,po-d
Problem: 7/10 x 5 8/12 | Student Answer: 21 7/11,pf-a
Problem: 7/10 x 5 8/12 | Student Answer: 47 3/5,pf-b
Problem: 7/10 x 5 8/12 | Student Answer: 5/8,pf-c
Problem: 7/10 x 5 8/12 | Student Answer: 7/22,pf-d
Problem: 7/10 x 5 8/12 | Student Answer: -37 1/2,pf-e
Problem: 7/10 x 5 8/12 | Student Answer: 3 26/31,a
Problem: 2 6/19 - 1 3/20 | Student Answer: 3 309/380,conv-a
Problem: 2 6/19 - 1 3/20 | Student Answer: 2 6/19,conv-b
Problem: 2 6/19 - 1 3/20 | Student Answer: 2 99/380,conv-c
Problem: 2 6/19 - 1 3/20 | Student Answer: -21/1,conv-d
Problem: 2 6/19 - 1 3/20 | Student Answer: -1 63/380,po-a
Problem: 2 6/19 - 1 3/20 | Student Answer: 380/443,po-b
Problem: 2 6/19 - 1 3/20 | Student Answer: 2 63/95,po-c
Problem: 2 6/19 - 1 3/20 | Student Answer: 67/380,po-d
Problem: 2 6/19 - 1 3/20 | Student Answer: 1 28/39,pf-a
Problem: 2 6/19 - 1 3/20 | Student Answer: 3 10/19,pf-b
Problem: 2 6/19 - 1 3/20 | Student Answer: 7/13,pf-c
Problem: 2 6/19 - 1 3/20 | Student Answer: 3 7/20,pf-d
Problem: 2 6/19 - 1 3/20 | Student Answer: 21/380,pf-e
Problem: 2 6/19 - 1 3/20 | Student Answer: 2 63/190,a
Problem: 5 2/7 ÷ 11/14 | Student Answer: 5 2/7,conv-a
Problem: 5 2/7 ÷ 11/14 | Student Answer: 4 15/98,conv-b
Problem: 5 2/7 ÷ 11/14 | Student Answer: 2 37/49,conv-c
Problem: 5 2/7 ÷ 11/14 | Student Answer: 1 5/21,conv-d
Problem: 5 2/7 ÷ 11/14 | Student Answer: -6 8/11,po-a
Problem: 5 2/7 ÷ 11/14 | Student Answer: 11/74,po-b
Problem: 5 2/7 ÷ 11/14 | Student Answer: 2 2/7,po-c
Problem: 5 2/7 ÷ 11/14 | Student Answer: 6 8/11,po-d
Problem: 5 2/7 ÷ 11/14 | Student Answer: 19 8/21,pf-a
Problem: 5 2/7 ÷ 11/14 | Student Answer: 58 1/7,pf-b
Problem: 5 2/7 ÷ 11/14 | Student Answer: 24/49,pf-c
Problem: 5 2/7 ÷ 11/14 | Student Answer: 1 16/21,pf-d
Problem: 5 2/7 ÷ 11/14 | Student Answer: -6 6/7,pf-e
Problem: 5 2/7 ÷ 11/14 | Student Answer: 6 7/11,a
Problem: 3/8 ÷ 3 3/17 | Student Answer: 2 3/5,conv-a
Problem: 3/8 ÷ 3 3/17 | Student Answer: 1 13/68,conv-b
Problem: 3/8 ÷ 3 3/17 | Student Answer: 39/68,conv-c
Problem: 3/8 ÷ 3 3/17 | Student Answer: -2 1/25,conv-d
Problem: 3/8 ÷ 3 3/17 | Student Answer: -17/144,po-a
Problem: 3/8 ÷ 3 3/17 | Student Answer: 8 8/17,po-b
Problem: 3/8 ÷ 3 3/17 | Student Answer: 2 7/25,po-c
Problem: 3/8 ÷ 3 3/17 | Student Answer: 17/144,po-d
Problem: 3/8 ÷ 3 3/17 | Student Answer: 6 12/25,pf-a
Problem: 3/8 ÷ 3 3/17 | Student Answer: 20 1/4,pf-b
Problem: 3/8 ÷ 3 3/17 | Student Answer: 57/136,pf-c
Problem: 3/8 ÷ 3 3/17 | Student Answer: 3/25,pf-d
Problem: 3/8 ÷ 3 3/17 | Student Answer: -6 1/3,pf-e
Problem: 3/8 ÷ 3 3/17 | Student Answer: 17/72,a
Problem: 1/3 x 4/6 | Student Answer: 5/9,conv-a
Problem: 1/3 x 4/6 | Student Answer: 1/2,conv-b
Problem: 1/3 x 4/6 | Student Answer: 7/18,conv-c
Problem: 1/3 x 4/6 | Student Answer: -1/3,conv-d
Problem: 1/3 x 4/6 | Student Answer: -2/9,po-a
Problem: 1/3 x 4/6 | Student Answer: 4 1/2,po-b
Problem: 1/3 x 4/6 | Student Answer: 1/1,po-c
Problem: 1/3 x 4/6 | Student Answer: 5/18,po-d
Problem: 1/3 x 4/6 | Student Answer: 4/9,pf-a
Problem: 1/3 x 4/6 | Student Answer: 1 1/3,pf-b
Problem: 1/3 x 4/6 | Student Answer: 5/18,pf-c
Problem: 1/3 x 4/6 | Student Answer: 1/9,pf-d
Problem: 1/3 x 4/6 | Student Answer: -1 2/3,pf-e
Problem: 1/3 x 4/6 | Student Answer: 1/5,a
Problem: 1 5/10 - 1 6/17 | Student Answer: 2 1/34,conv-a
Problem: 1 5/10 - 1 6/17 | Student Answer: 1 6/17,conv-b
Problem: 1 5/10 - 1 6/17 | Student Answer: 1 7/9,conv-c
Problem: 1 5/10 - 1 6/17 | Student Answer: 1 1/7,conv-d
Problem: 1 5/10 - 1 6/17 | Student Answer: -5/34,po-a
Problem: 1 5/10 - 1 6/17 | Student Answer: 6 4/5,po-b
Problem: 1 5/10 - 1 6/17 | Student Answer: 2 1/34,po-c
Problem: 1 5/10 - 1 6/17 | Student Answer: 19/85,po-d
Problem: 1 5/10 - 1 6/17 | Student Answer: 64 3/5,pf-a
Problem: 1 5/10 - 1 6/17 | Student Answer: 2 4/17,pf-b
Problem: 1 5/10 - 1 6/17 | Student Answer: -8/27,pf-c
Problem: 1 5/10 - 1 6/17 | Student Answer: 2 4/17,pf-d
Problem: 1 5/10 - 1 6/17 | Student Answer: -4/85,pf-e
Problem: 1 5/10 - 1 6/17 | Student Answer: 5/17,a
Problem: 3/4 x 5 1/7 | Student Answer: 3 6/11,conv-a
Problem: 3/4 x 5 1/7 | Student Answer: 7/48,conv-b
Problem: 3/4 x 5 1/7 | Student Answer: 9/1,conv-c
Problem: 3/4 x 5 1/7 | Student Answer: -3/1,conv-d
Problem: 3/4 x 5 1/7 | Student Answer: -3 6/7,po-a
Problem: 3/4 x 5 1/7 | Student Answer: 7/27,po-b
Problem: 3/4 x 5 1/7 | Student Answer: 11/1,po-c
Problem: 3/4 x 5 1/7 | Student Answer: 1 11/28,po-d
Problem: 3/4 x 5 1/7 | Student Answer: 9 9/11,pf-a
Problem: 3/4 x 5 1/7 | Student Answer: 27/1,pf-b
Problem: 3/4 x 5 1/7 | Student Answer: 1 11/28,pf-c
Problem: 3/4 x 5 1/7 | Student Answer: 3/11,pf-d
Problem: 3/4 x 5 1/7 | Student Answer: -13/1,pf-e
Problem: 3/4 x 5 1/7 | Student Answer: 3 3/8,a
Problem: 2 2/4 + 7/9 | Student Answer: 1 17/18,conv-a
Problem: 2 2/4 + 7/9 | Student Answer: 2 1/2,conv-b
Problem: 2 2/4 + 7/9 | Student Answer: 1 8/13,conv-c
Problem: 2 2/4 + 7/9 | Student Answer: 3/13,conv-d
Problem: 2 2/4 + 7/9 | Student Answer: -3 5/18,po-a
Problem: 2 2/4 + 7/9 | Student Answer: 18/59,po-b
Problem: 2 2/4 + 7/9 | Student Answer: 1 17/18,po-c
Problem: 2 2/4 + 7/9 | Student Answer: 17/36,po-d
Problem: 2 2/4 + 7/9 | Student Answer: -3 2/5,pf-a
Problem: 2 2/4 + 7/9 | Student Answer: 1 8/9,pf-b
Problem: 2 2/4 + 7/9 | Student Answer: 3/13,pf-c
Problem: 2 2/4 + 7/9 | Student Answer: 17 1/2,pf-d
Problem: 2 2/4 + 7/9 | Student Answer: -3 2/5,pf-e
Problem: 2 2/4 + 7/9 | Student Answer: 6 5/9,a
Problem: 5/11 - 3 1/4 | Student Answer: 4 8/11,conv-a
Problem: 5/11 - 3 1/4 | Student Answer: 5/11,conv-b
Problem: 5/11 - 3 1/4 | Student Answer: 1 14/15,conv-c
Problem: 5/11 - 3 1/4 | Student Answer: -1 1/7,conv-d
Problem: 5/11 - 3 1/4 | Student Answer: 2 35/44,po-a
Problem: 5/11 - 3 1/4 | Student Answer: -44/123,po-b
Problem: 5/11 - 3 1/4 | Student Answer: 1 21/44,po-c
Problem: 5/11 - 3 1/4 | Student Answer: 9/22,po-d
Problem: 5/11 - 3 1/4 | Student Answer: 2 4/7,pf-a
Problem: 5/11 - 3 1/4 | Student Answer: 4 1/2,pf-b
Problem: 5/11 - 3 1/4 | Student Answer: 4/39,pf-c
Problem: 5/11 - 3 1/4 | Student Answer: -8/11,pf-d
Problem: 5/11 - 3 1/4 | Student Answer: -2/11,pf-e
Problem: 5/11 - 3 1/4 | Student Answer: -2 17/22,a
Problem: 2/7 x 3/4 | Student Answer: 3/14,conv-a
Problem: 2/7 x 3/4 | Student Answer: 8/21,conv-b
Problem: 2/7 x 3/4 | Student Answer: 17/28,conv-c
Problem: 2/7 x 3/4 | Student Answer: -1/11,conv-d
Problem: 2/7 x 3/4 | Student Answer: -3/14,po-a
Problem: 2/7 x 3/4 | Student Answer: 4 2/3,po-b
Problem: 2/7 x 3/4 | Student Answer: -1/3,po-c
Problem: 2/7 x 3/4 | Student Answer: 5/28,po-d
Problem: 2/7 x 3/4 | Student Answer: 6/11,pf-a
Problem: 2/7 x 3/4 | Student Answer: 6/7,pf-b
Problem: 2/7 x 3/4 | Student Answer: 5/28,pf-c
Problem: 2/7 x 3/4 | Student Answer: 2/11,pf-d
Problem: 2/7 x 3/4 | Student Answer: 1 2/3,pf-e
Problem: 2/7 x 3/4 | Student Answer: 3/7,a
Problem: 3 1/2 - 1 7/17 | Student Answer: 1 12/19,conv-a
Problem: 3 1/2 - 1 7/17 | Student Answer: 2 1/7,conv-b
Problem: 3 1/2 - 1 7/17 | Student Answer: 1 2/17,conv-c
Problem: 3 1/2 - 1 7/17 | Student Answer: 1 2/15,conv-d
Problem: 3 1/2 - 1 7/17 | Student Answer: -2 3/34,po-a
Problem: 3 1/2 - 1 7/17 | Student Answer: 34/71,po-b
Problem: 3 1/2 - 1 7/17 | Student Answer: 4 16/17,po-c
Problem: 3 1/2 - 1 7/17 | Student Answer: 31/34,po-d
Problem: 3 1/2 - 1 7/17 | Student Answer: 1 12/19,pf-a
Problem: 3 1/2 - 1 7/17 | Student Answer: 15 1/2,pf-b
Problem: 3 1/2 - 1 7/17 | Student Answer: 8 16/19,pf-c
Problem: 3 1/2 - 1 7/17 | Student Answer: 84/1,pf-d
Problem: 3 1/2 - 1 7/17 | Student Answer: -1/2,pf-e
Problem: 3 1/2 - 1 7/17 | Student Answer: 2 2/17,a
Problem: 14/20 x 19/20 | Student Answer: 33/40,conv-a
Problem: 14/20 x 19/20 | Student Answer: 14/19,conv-b
Problem: 14/20 x 19/20 | Student Answer: 1 123/200,conv-c
Problem: 14/20 x 19/20 | Student Answer: -1/8,conv-d
Problem: 14/20 x 19/20 | Student Answer: -133/200,po-a
Problem: 14/20 x 19/20 | Student Answer: 1 67/133,po-b
Problem: 14/20 x 19/20 | Student Answer: -5/1,po-c
Problem: 14/20 x 19/20 | Student Answer: 33/400,po-d
Problem: 14/20 x 19/20 | Student Answer: 6 13/20,pf-a
Problem: 14/20 x 19/20 | Student Answer: 13 3/10,pf-b
Problem: 14/20 x 19/20 | Student Answer: 33/400,pf-c
Problem: 14/20 x 19/20 | Student Answer: 7/20,pf-d
Problem: 14/20 x 19/20 | Student Answer: 33/1,pf-e
Problem: 14/20 x 19/20 | Student Answer: 33/50,a
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 3 1/10,conv-a
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 5 45/112,conv-b
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 1 183/224,conv-c
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: -1 1/10,conv-d
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: -7/20,po-a
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 2 6/7,po-b
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 2 17/30,po-c
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 7/20,po-d
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 40 1/3,pf-a
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 75 5/8,pf-b
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 11/32,pf-c
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 11/15,pf-d
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 38 1/2,pf-e
Problem: 1 6/16 ÷ 3 13/14 | Student Answer: 1/3,a
Problem: 2/6 ÷ 2 6/18 | Student Answer: 1/3,conv-a
Problem: 2/6 ÷ 2 6/18 | Student Answer: 7/9,conv-b
Problem: 2/6 ÷ 2 6/18 | Student Answer: 3 1/9,conv-c
Problem: 2/6 ÷ 2 6/18 | Student Answer: -1 2/3,conv-d
Problem: 2/6 ÷ 2 6/18 | Student Answer: -1/7,po-a
Problem: 2/6 ÷ 2 6/18 | Student Answer: 7/1,po-b
